Title,Beds,Bath,Area,Address,Type,Price(BDT)
Eminent Apartment Of 2200 Sq Ft Is Vacant For Sale In Bashundhara R-A.,3,3,2200 sqft,"Block A, Bashundhara R-A, Dhaka",Apartment,5000000
"Apartment Ready To Sale In South Khulshi, Nearby South Khulshi Police Station",3,3,1400 sqft,"South Khulshi, Khulshi, Chattogram",Apartment,8000000
"Smartly Priced 1950 Sq Ft Apartment, That You Should Check In Bashundhara R-A",3,3,1950 sqft,"Block F, Bashundhara R-A, Dhaka",Apartment,8300000
"2000 Sq Ft Residential Apartment Is Up For Saleal Purpose In Sector 9, Uttara",3,3,2000 sqft,"Sector 9, Uttara, Dhaka",Apartment,8700000
"Strongly Structured This 1650 Sq. Ft Apartment Is Now Vacant For Sale In Block I , Bashundhara R-A",3,3,1650 sqft,"Block I, Bashundhara R-A, Dhaka",Apartment,7600000
"A Nice Residential Flat Of 3400 Sq Ft, For Sale, Can Be Found In Gulshan Avenue",5,3,3400 sqft,"Gulshan 1, Gulshan, Dhaka",Apartment,30000000
1600 Square Feet Apartment With Amazing Rooms Is For Sale In Uttara-6,3,3,1600 sqft,"Sector 6, Uttara, Dhaka",Apartment,8900000
Let Us Help You To Sale This 1250 Sq Ft Apartment Which Is Now Available In Bashundhara R-A,3,3,1250 sqft,"Block K, Bashundhara R-A, Dhaka",Apartment,8300000
"An Extensive Apartment Of 2150 Sq Ft Is Vacant For Sale In Ranavola Avenue, Uttara",3,3,2150 sqft,"Sector 10, Uttara, Dhaka",Apartment,4000000
A Well-Constructed 1250 Sq Ft Apartment Is Ready To Sale In Bashundhara R-A,3,3,1250 sqft,"Block K, Bashundhara R-A, Dhaka",Apartment,7800000
Don’T Waste Your Valuable Time! You Can Take This 1250 Sq Ft Apartment For Sale In Bashundhara R-A,3,3,1250 sqft,"Block K, Bashundhara R-A, Dhaka",Apartment,5800000
"In The Nice Location Of Bayazid, An Apartments Of 1580 Sq Ft Is Available For Sale",3,3,1580 sqft,"Bayazid, Chattogram",Apartment,8800000
Beautiful 3200 Sq Ft Apartment For Sale At Gulshan 1,4,2,3200 sqft,"Gulshan 1, Gulshan, Dhaka",Apartment,60000000
A Well-Defined Residential Apartment Of 3000 Sq Ft Is Available For Sale In Gulshan,3,3,3000 sqft,"Gulshan 2, Gulshan, Dhaka",Apartment,50000000
Property For Sale In Bashundhara R-A– 1250 Sq Ft Apartment,3,3,1250 sqft,"Block K, Bashundhara R-A, Dhaka",Apartment,6800000
"In The Most Prime Location Of Uttara, An Apartment Of 1800 Sq Ft Is Available For Sale",3,2,1800 sqft,"Sector 12, Uttara, Dhaka",Apartment,8900000
This Flat In Bashundhara R-A Is Up For Sale With An Area Of 1250 Sq. Ft,3,3,1250 sqft,"Block K, Bashundhara R-A, Dhaka",Apartment,9000000
A Fine Flat Is Now For Sale Which Is In Bashundhara R-A Near Ebenzer International School,3,3,2000 sqft,"Block D, Bashundhara R-A, Dhaka",Apartment,8600000
"An Apartment Is Ready For Sale At Bashundhara R-A, Near Independent University",3,2,1750 sqft,"Block C, Bashundhara R-A, Dhaka",Apartment,8700000
Use Your Time Perfectly To Take This 1250 Sq Ft Flat For Sale In Bashundhara R-A,3,3,1250 sqft,"Block K, Bashundhara R-A, Dhaka",Apartment,8200000
Worthy 1250 Sq Ft Nice Home Is Ready To Sale At Bashundhara R-A,3,3,1250 sqft,"Block K, Bashundhara R-A, Dhaka",Apartment,4200000
Brand New Flat Covering An Area Of 1310 Sq Ft Is Ready For Sale In Khilgaon,3,3,1310 sqft,"Ward 23, Chowdhuripara, Khilgaon, Dhaka",Apartment,6300000
